0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.716476E+00,0.000000E+00,0.000000E+00
6.330000E-05,5.077950E-02,5.077950E-02,2.130680E-02,3.520000E-05,1.468190E-02,-1.000000E-07,2.715980E+00,7.390900E-03,-3.440000E-05
2.532000E-04,2.031125E-01,2.031113E-01,8.504650E-02,5.502000E-04,5.762110E-02,-9.600000E-06,2.714611E+00,2.946900E-02,-5.275000E-04
5.696000E-04,4.569822E-01,4.569658E-01,1.907537E-01,2.676800E-03,1.256164E-01,-1.116000E-04,2.712727E+00,6.531740E-02,-2.489200E-03
1.012600E-03,8.123609E-01,8.122192E-01,3.378502E-01,8.006500E-03,2.138667E-01,-6.449000E-04,2.710914E+00,1.124576E-01,-7.138300E-03
1.582000E-03,1.269209E+00,1.268389E+00,5.255096E-01,1.822980E-02,3.165340E-01,-2.521700E-03,2.709994E+00,1.660224E-01,-1.541820E-02
2.277900E-03,1.827478E+00,1.823958E+00,7.518025E-01,3.477300E-02,4.274118E-01,-7.626000E-03,2.710991E+00,2.191097E-01,-2.764760E-02
3.100100E-03,2.487105E+00,2.475078E+00,1.011903E+00,5.852640E-02,5.405785E-01,-1.905130E-02,2.715079E+00,2.641978E-01,-4.343770E-02
4.048600E-03,3.248018E+00,3.213722E+00,1.296110E+00,8.972590E-02,6.510281E-01,-4.077860E-02,2.723438E+00,2.953186E-01,-6.186030E-02
5.123200E-03,4.110135E+00,4.025897E+00,1.589365E+00,1.279972E-01,7.551733E-01,-7.656780E-02,2.737085E+00,3.102498E-01,-8.173480E-02
6.323800E-03,5.073359E+00,4.890990E+00,1.873385E+00,1.725194E-01,8.510510E-01,-1.284327E-01,2.756667E+00,3.116825E-01,-1.018702E-01
7.650400E-03,6.137586E+00,5.783083E+00,2.130591E+00,2.222303E-01,9.381296E-01,-1.955355E-01,2.782350E+00,3.066139E-01,-1.211773E-01
9.102700E-03,7.302699E+00,6.674145E+00,2.347838E+00,2.759917E-01,1.016798E+00,-2.741580E-01,2.813738E+00,3.039734E-01,-1.386834E-01
1.068060E-02,8.568571E+00,7.538041E+00,2.518356E+00,3.326805E-01,1.087762E+00,-3.587499E-01,2.849920E+00,3.117224E-01,-1.535405E-01
1.238390E-02,9.935061E+00,8.353904E+00,2.641562E+00,3.912142E-01,1.151630E+00,-4.434675E-01,2.889523E+00,3.345925E-01,-1.651028E-01
1.421240E-02,1.140202E+01,9.107903E+00,2.721413E+00,4.505498E-01,1.208785E+00,-5.234825E-01,2.930881E+00,3.734264E-01,-1.730355E-01
1.616600E-02,1.296929E+01,9.793232E+00,2.764325E+00,5.096864E-01,1.259452E+00,-5.956384E-01,2.972183E+00,4.257527E-01,-1.774018E-01
1.824440E-02,1.463670E+01,1.040886E+01,2.777469E+00,5.676912E-01,1.303800E+00,-6.584557E-01,3.011705E+00,4.872447E-01,-1.786471E-01
2.044730E-02,1.640406E+01,1.095778E+01,2.767713E+00,6.237398E-01,1.342039E+00,-7.117442E-01,3.047950E+00,5.530636E-01,-1.775061E-01
2.277470E-02,1.827118E+01,1.144538E+01,2.741089E+00,6.771482E-01,1.374486E+00,-7.561308E-01,3.079736E+00,6.188254E-01,-1.748702E-01
2.522610E-02,2.023785E+01,1.187813E+01,2.702619E+00,7.273951E-01,1.401568E+00,-7.926438E-01,3.106225E+00,6.811162E-01,-1.716284E-01
2.780130E-02,2.230387E+01,1.226274E+01,2.656327E+00,7.741412E-01,1.423783E+00,-8.224474E-01,3.126976E+00,7.376998E-01,-1.685258E-01
3.050010E-02,2.446899E+01,1.260566E+01,2.605350E+00,8.172056E-01,1.441677E+00,-8.466951E-01,3.141851E+00,7.870722E-01,-1.660408E-01
3.332220E-02,2.673300E+01,1.291274E+01,2.552147E+00,8.565316E-01,1.455817E+00,-8.664091E-01,3.150937E+00,8.284591E-01,-1.644257E-01
3.626710E-02,2.909563E+01,1.318920E+01,2.498568E+00,8.921823E-01,1.466815E+00,-8.823798E-01,3.154442E+00,8.612928E-01,-1.637501E-01
3.933470E-02,3.155663E+01,1.343969E+01,2.445964E+00,9.243122E-01,1.475176E+00,-8.952262E-01,3.152706E+00,8.854120E-01,-1.640576E-01
4.252460E-02,3.411573E+01,1.366823E+01,2.395286E+00,9.531339E-01,1.481164E+00,-9.054702E-01,3.146182E+00,9.012140E-01,-1.652713E-01
4.583640E-02,3.677264E+01,1.387825E+01,2.347181E+00,9.788838E-01,1.484997E+00,-9.135787E-01,3.135565E+00,9.091573E-01,-1.672288E-01
4.926980E-02,3.952709E+01,1.407256E+01,2.302063E+00,1.001783E+00,1.486943E+00,-9.199375E-01,3.121456E+00,9.097205E-01,-1.695893E-01
5.282430E-02,4.237875E+01,1.425352E+01,2.260166E+00,1.022043E+00,1.487324E+00,-9.248912E-01,3.104442E+00,9.037419E-01,-1.720422E-01
5.649960E-02,4.532733E+01,1.442313E+01,2.221640E+00,1.039889E+00,1.486453E+00,-9.287752E-01,3.085115E+00,8.922393E-01,-1.743971E-01
6.029540E-02,4.837250E+01,1.458304E+01,2.186440E+00,1.055547E+00,1.484553E+00,-9.319466E-01,3.064083E+00,8.765835E-01,-1.766156E-01
6.421110E-02,5.151392E+01,1.473470E+01,2.154346E+00,1.069235E+00,1.481824E+00,-9.345521E-01,3.041898E+00,8.580375E-01,-1.786575E-01
6.824640E-02,5.475125E+01,1.487947E+01,2.125012E+00,1.081147E+00,1.478535E+00,-9.365803E-01,3.018953E+00,8.373209E-01,-1.803894E-01
